TECHNICAL_TERM,SPARKIE_SYNONYMS
RCD PROTECTION,"[""30mA safety switch"", ""safety switch requirements""]"
AMBIENT TEMPERATURE CORRECTIONS,"[""derating factors"", ""temp adjustments""]"
PROTECTIVE EARTHING CONDUCTOR,"[""4 mil earth"", ""4 square earth""]"
ELECTRICAL EQUIPMENT,"[""AS3000 requirements"", ""IP boxes""]"
EQUIPOTENTIAL BONDING,"[""bonded bathroom"", ""earth strap""]"
BATHROOM INSTALLATIONS,"[""dunny install"", ""loo install""]"
DERATING FACTORS,"[""cable ampacity reduction"", ""cable de-rating""]"
VOLTAGE DROP,"[""3% max VD"", ""cable loss""]"
ELECTRICAL INSTALLATIONS,"[""240V install"", ""LV install""]"
TYPE B CIRCUIT BREAKER,"[""MCCB"", ""Thermal Breaker""]"
6MM² CABLE,"[""6 mil"", ""6 square""]"
EARTH CONDUCTOR REQUIREMENTS,"[""earth wire"", ""earthing conductor""]"
OUTDOOR INSTALLATIONS,"[""external install"", ""open air install""]"
CIRCUIT PROTECTIVE DEVICE,"[""safety switch"", ""safety switches""]"
SOCKET-OUTLETS,"[""GPO strip"", ""RCD GPOs""]"
POWER CIRCUITS,"[""32 amp circuit"", ""32A circuit""]"
CURRENT-CARRYING CAPACITY,"[""amp rating"", ""cable ampacity""]"
KITCHEN INSTALLATIONS,"[""cooking area install"", ""kitchen fit-out""]"
AS3000 WIRING RULES,"[""Australian Standard 3000"", ""Australian Wiring Standards""]"
EXPOSED CONDUCTIVE PARTS,"[""live metal"", ""metal bits""]"
SAFETY SERVICES,"[""Life Support Systems"", ""Emergency Services""]"
SWITCHBOARD,"[""Distribution Boards"", ""Final Distribution Boards""]"
TESTING PROCEDURES,"[""fault finding"", ""pre-connection checks""]"
INDOOR INSTALLATIONS,"[""domestic install"", ""house wiring""]"
POLARITY TESTS,"[""live test"", ""live-dead test""]"
CONTINUITY TESTS,"[""insulation resistance test"", ""meg test""]"
MAIN EARTHING CONDUCTOR,"[""earth cables"", ""MES""]"
LIVING ROOM INSTALLATIONS,"[""residential installs"", ""LRIs""]"
INSULATION RESISTANCE TESTS,"[""IR test"", ""Meg test""]"
WIRING SYSTEMS,"[""armoured cable"", ""electrical circuitry""]"
CONSUMER MAINS,"[""main cables"", ""supply cables""]"
CABLE SELECTION,"[""cable sizing"", ""cable spec""]"
AERIAL CONDUCTORS,"[""high voltage lines"", ""overhead cables""]"
FINAL SUBCIRCUITS,"[""distribution board subcircuit"", ""distribution circuits""]"
PROTECTIVE DEVICES,"[""circuit breaker"", ""circuit breakers""]"
CIRCUIT BREAKER PROTECTION,"[""RCD/CB combo"", ""safety switch""]"
TESTING REQUIREMENTS,"[""certification tests"", ""commissioning tests""]"
MEN CONNECTION,"[""Earth Bond"", ""Insulated Male Connector""]"
GROUPED CABLES,"[""cable bunch"", ""cable loom""]"
NEUTRAL CONDUCTOR,"[""black wire"", ""black wires""]"
CROSS-SECTIONAL AREA,"[""cable gauge"", ""cable size""]"
AUTOMATIC DISCONNECTION OF SUPPLY,"[""auto cut-off"", ""ADS""]"
32A CIRCUITS,"[""32 amp circuit"", ""32A power circuit""]"
EARTH CONDUCTOR,"[""PEC test"", ""green wire""]"
LIGHTING CIRCUITS,"[""lighting feeds"", ""lighting loops""]"
NEW INSTALLATIONS,"[""greenfield site"", ""new build""]"
EARTHING CONDUCTORS,"[""aerial earths"", ""earth cables""]"
MECHANICAL PROTECTION,"[""IP rating"", ""mech guard""]"
OVERCURRENT PROTECTION,"[""circuit breaker"", ""OCP""]"
FREE LENGTH TO LOWEST CONDUCTOR SUPPORT,"[""FL"", ""conductor span""]"
SUBMAINS,"[""distribution board"", ""DB""]"
